company,ticker,report_bucket,fiscal_period,period_end,rpo_backlog_or_revenue_usd_b,fact_metric,quarterly_capex_usd_b,capex_definition,fact_source_url,capex_source_url,evidence_derivation,fact_source_id,capex_source_id
Microsoft,MSFT,Q2 25,FY25 Q4,2025-06-30,368,Commercial remaining performance obligation,24.2,"Company-reported capex, including finance leases",https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast,"Fact: Commercial RPO increased to $368B at June 30, 2025. Capex: Official FY25 Q4 transcript: capital expenditures were $24.2B, including finance leases.",MSFT-Q225-FACT,MSFT-Q225-CAPEX
Microsoft,MSFT,Q3 25,FY26 Q1,2025-09-30,392,Commercial remaining performance obligation,34.9,"Company-reported capex, including finance-lease timing effects",https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast,"Fact: The 10-Q reports $398B total RPO, of which $392B is commercial RPO. Capex: Official FY26 Q1 transcript: capital expenditures were $34.9B.",MSFT-Q325-FACT,MSFT-Q325-CAPEX
Microsoft,MSFT,Q4 25,FY26 Q2,2025-12-31,625,Commercial remaining performance obligation,37.5,"Company-reported capex, including finance-lease timing effects",https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast,Fact: Commercial RPO was $625B with a weighted-average duration of approximately 2.5 years. Capex: Official FY26 Q2 transcript: capital expenditures were $37.5B.,MSFT-Q425-FACT,MSFT-Q425-CAPEX
Microsoft,MSFT,Q1 26,FY26 Q3,2026-03-31,627,Commercial remaining performance obligation,31.9,"Company-reported capex, including finance-lease timing effects",https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast,Fact: Commercial RPO was $627B with a weighted-average duration of approximately 2.5 years. Capex: Official FY26 Q3 transcript: capital expenditures were $31.9B; cash paid for PP&E was $30.9B.,MSFT-Q126-FACT,MSFT-Q126-CAPEX
Microsoft,MSFT,Q2 26,FY26 Q4,2026-06-30,678,Commercial remaining performance obligation,41,"Management-reported capex, including finance-lease commencement effects",https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4,"Fact: Commercial remaining performance obligation was $678B; total company RPO was $684B. Weighted-average commercial-RPO duration including OpenAI was 2.3 years. Capex: Official FY26 Q4 call reports management capex of $41.0B, including $5.6B of finance leases; cash paid for PP&E was $35.8B. The trajectory preserves Microsoft's management capex series.",MSFT-Q226-FACT,MSFT-Q226-CAPEX
Alphabet,GOOG,Q2 25,Q2 2025,2025-06-30,108.2,Revenue backlog / remaining performance obligations,22.446,Cash purchases of property and equipment,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/goog-20250630.htm,"Fact: Revenue backlog/RPO was $108.2B as of June 30, 2025. Capex: Quarter capex = $39.643B first-half cash PP&E purchases less $17.197B Q1 = $22.446B.",GOOG-Q225-FACT,GOOG-Q225-CAPEX
Alphabet,GOOG,Q3 25,Q3 2025,2025-09-30,157.7,Revenue backlog / remaining performance obligations,23.953,Cash purchases of property and equipment,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000091/goog-20250930.htm,"Fact: Revenue backlog/RPO was $157.7B as of September 30, 2025, primarily related to Google Cloud. Capex: Quarter capex = $63.596B nine-month cash PP&E purchases less $39.643B first half = $23.953B.",GOOG-Q325-FACT,GOOG-Q325-CAPEX
Alphabet,GOOG,Q4 25,Q4 2025,2025-12-31,242.8,Revenue backlog / remaining performance obligations,27.851,Cash purchases of property and equipment,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,"Fact: Revenue backlog/RPO was $242.8B as of December 31, 2025, primarily related to Google Cloud. Capex: Quarter capex = $91.447B FY2025 cash PP&E purchases less $63.596B first nine months = $27.851B.",GOOG-Q425-FACT,GOOG-Q425-CAPEX
Alphabet,GOOG,Q1 26,Q1 2026,2026-03-31,467.6,Revenue backlog / remaining performance obligations,35.674,Cash purchases of property and equipment,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,"Fact: Revenue backlog/RPO was $467.6B; $462.3B related to Google Cloud. Alphabet changed the definition in Q1 2026 to include original terms of one year or less ($7.3B), so the series has a comparability break. Capex: The Q1 2026 10-Q reports $35.674B of cash purchases of property and equipment.",GOOG-Q126-FACT,GOOG-Q126-CAPEX
Alphabet,GOOG,Q2 26,Q2 2026,2026-06-30,519.5,Revenue backlog / remaining performance obligations,44.924,Cash purchases of property and equipment,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"Fact: Revenue backlog/RPO was $519.5B, including $513.9B related to Google Cloud. The Q1 2026 short-term-contract definition change remains in effect, and Cloud backlog now includes TPU system-sale agreements; the vast majority remains GCP agreements. Capex: The Q2 2026 10-Q reports exact cash purchases of PP&E of $44.924B; narrative disclosure rounds to $44.9B.",GOOG-Q226-FACT,GOOG-Q226-CAPEX
