source_id,url,company,period,kind,title_or_description,local_path_if_any,reported_value,classification,evidence_derivation,status,caveat,in_workbook_ledger
MSFT-Q225-FACT,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,Microsoft,FY25 Q4 / 2025-06-30,fact,msft-20250630.htm — Commercial remaining performance obligation,,368,SEC filing,"Commercial RPO increased to $368B at June 30, 2025.",Verified,Fact used in model,yes
MSFT-Q225-CAPEX,https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast,Microsoft,FY25 Q4 / 2025-06-30,capex,Official investor-relations disclosure — Quarterly capex,,24.2,SEC filing / official company disclosure,"Official FY25 Q4 transcript: capital expenditures were $24.2B, including finance leases.",Verified,"Company-reported capex, including finance leases",yes
MSFT-Q325-FACT,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm,Microsoft,FY26 Q1 / 2025-09-30,fact,msft-20250930.htm — Commercial remaining performance obligation,01_sources/company_filings/microsoft/Microsoft_2025-10-29_10-Q_msft-20250930.htm,392,SEC filing,"The 10-Q reports $398B total RPO, of which $392B is commercial RPO.",Verified,Fact used in model,yes
MSFT-Q325-CAPEX,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast,Microsoft,FY26 Q1 / 2025-09-30,capex,Official investor-relations disclosure — Quarterly capex,01_sources/company_filings/microsoft/Microsoft_2025-10-29_10-Q_msft-20250930.htm,34.9,SEC filing / official company disclosure,Official FY26 Q1 transcript: capital expenditures were $34.9B.,Verified,"Company-reported capex, including finance-lease timing effects",yes
MSFT-Q425-FACT,https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm,Microsoft,FY26 Q2 / 2025-12-31,fact,msft-20251231.htm — Commercial remaining performance obligation,01_sources/company_filings/microsoft/Microsoft_2026-01-28_10-Q_msft-20251231.htm,625,SEC filing,Commercial RPO was $625B with a weighted-average duration of approximately 2.5 years.,Verified,Fact used in model,yes
MSFT-Q425-CAPEX,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast,Microsoft,FY26 Q2 / 2025-12-31,capex,Official investor-relations disclosure — Quarterly capex,01_sources/company_filings/microsoft/Microsoft_2026-01-28_10-Q_msft-20251231.htm,37.5,SEC filing / official company disclosure,Official FY26 Q2 transcript: capital expenditures were $37.5B.,Verified,"Company-reported capex, including finance-lease timing effects",yes
MSFT-Q126-FACT,https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm,Microsoft,FY26 Q3 / 2026-03-31,fact,msft-20260331.htm — Commercial remaining performance obligation,01_sources/company_filings/microsoft/Microsoft_2026-04-29_10-Q_msft-20260331.htm,627,SEC filing,Commercial RPO was $627B with a weighted-average duration of approximately 2.5 years.,Verified,Fact used in model,yes
MSFT-Q126-CAPEX,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast,Microsoft,FY26 Q3 / 2026-03-31,capex,Official investor-relations disclosure — Quarterly capex,01_sources/company_filings/microsoft/Microsoft_2026-04-29_10-Q_msft-20260331.htm,31.9,SEC filing / official company disclosure,Official FY26 Q3 transcript: capital expenditures were $31.9B; cash paid for PP&E was $30.9B.,Verified,"Company-reported capex, including finance-lease timing effects",yes
MSFT-Q226-FACT,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm,Microsoft,FY26 Q4 / 2026-06-30,fact,msft-20260630.htm — Commercial remaining performance obligation,01_sources/company_filings/microsoft/Microsoft_2026-07-29_10-K_msft-20260630.htm,678,SEC filing,Commercial remaining performance obligation was $678B; total company RPO was $684B. Weighted-average commercial-RPO duration including OpenAI was 2.3 years.,Verified,Fact used in model,yes
MSFT-Q226-CAPEX,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4,Microsoft,FY26 Q4 / 2026-06-30,capex,Official investor-relations disclosure — Quarterly capex,01_sources/company_filings/microsoft/Microsoft_2026-07-29_10-K_msft-20260630.htm,41,SEC filing / official company disclosure,"Official FY26 Q4 call reports management capex of $41.0B, including $5.6B of finance leases; cash paid for PP&E was $35.8B. The trajectory preserves Microsoft's management capex series.",Verified,"Management-reported capex, including finance-lease commencement effects",yes
