sheet,cell,row,column,author,note_text
Trajectory,C5,5,C,Codex,"MSFT Q2 25 — Commercial remaining performance obligation
Value: $368.000B
Public source: https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Evidence: Commercial RPO increased to $368B at June 30, 2025.
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,D5,5,D,Codex,"MSFT Q3 25 — Commercial remaining performance obligation
Value: $392.000B
Public source: https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm
Evidence: The 10-Q reports $398B total RPO, of which $392B is commercial RPO.
Local source: 01_sources/company_filings/microsoft/Microsoft_2025-10-29_10-Q_msft-20250930.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,E5,5,E,Codex,"MSFT Q4 25 — Commercial remaining performance obligation
Value: $625.000B
Public source: https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/msft-20251231.htm
Evidence: Commercial RPO was $625B with a weighted-average duration of approximately 2.5 years.
Local source: 01_sources/company_filings/microsoft/Microsoft_2026-01-28_10-Q_msft-20251231.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,F5,5,F,Codex,"MSFT Q1 26 — Commercial remaining performance obligation
Value: $627.000B
Public source: https://www.sec.gov/Archives/edgar/data/789019/000119312526191507/msft-20260331.htm
Evidence: Commercial RPO was $627B with a weighted-average duration of approximately 2.5 years.
Local source: 01_sources/company_filings/microsoft/Microsoft_2026-04-29_10-Q_msft-20260331.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,G5,5,G,Codex,"MSFT Q2 26 — Commercial remaining performance obligation
Value: $678.000B
Public source: https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/msft-20260630.htm
Evidence: Commercial remaining performance obligation was $678B; total company RPO was $684B. Weighted-average commercial-RPO duration including OpenAI was 2.3 years.
Local source: 01_sources/company_filings/microsoft/Microsoft_2026-07-29_10-K_msft-20260630.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,C6,6,C,Codex,"MSFT Q2 25 — quarterly capex
Value: $24.200B
Public source: https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast
Evidence: Official FY25 Q4 transcript: capital expenditures were $24.2B, including finance leases.
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,D6,6,D,Codex,"MSFT Q3 25 — quarterly capex
Value: $34.900B
Public source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast
Evidence: Official FY26 Q1 transcript: capital expenditures were $34.9B.
Local source: 01_sources/company_filings/microsoft/Microsoft_2025-10-29_10-Q_msft-20250930.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,E6,6,E,Codex,"MSFT Q4 25 — quarterly capex
Value: $37.500B
Public source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast
Evidence: Official FY26 Q2 transcript: capital expenditures were $37.5B.
Local source: 01_sources/company_filings/microsoft/Microsoft_2026-01-28_10-Q_msft-20251231.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,F6,6,F,Codex,"MSFT Q1 26 — quarterly capex
Value: $31.900B
Public source: https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q3/press-release-webcast
Evidence: Official FY26 Q3 transcript: capital expenditures were $31.9B; cash paid for PP&E was $30.9B.
Local source: 01_sources/company_filings/microsoft/Microsoft_2026-04-29_10-Q_msft-20260331.htm
Classification: public filing / official company disclosure unless stated otherwise."
Trajectory,G6,6,G,Codex,"MSFT Q2 26 — quarterly capex
Value: $41.000B
Public source: https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
Evidence: Official FY26 Q4 call reports management capex of $41.0B, including $5.6B of finance leases; cash paid for PP&E was $35.8B. The trajectory preserves Microsoft's management capex series.
Local source: 01_sources/company_filings/microsoft/Microsoft_2026-07-29_10-K_msft-20260630.htm
Classification: public filing / official company disclosure unless stated otherwise."
