sheet,cell,row,column,header,fill_rgb,fill_name,fill_class,has_value,value_preview
Inputs,A1,1,A,,FF1F4E78,dark blue header,other,1,Filing Inputs
Inputs,P1,1,P,,FF1F4E78,dark blue header,other,1,Model Assumptions and Latest Annual Capex Denominators
Inputs,A2,2,A,,FFF2F2F2,light grey banner,other,1,Blue cells are public-filing or official-company facts. Yellow cells are analyst assumptions. Every sourced value carries a cell note with the public URL.
Inputs,A4,4,A,,FF1F4E78,dark blue header,other,1,Company
Inputs,B4,4,B,,FF1F4E78,dark blue header,other,1,Ticker
Inputs,C4,4,C,,FF1F4E78,dark blue header,other,1,Report Bucket
Inputs,D4,4,D,,FF1F4E78,dark blue header,other,1,Fiscal Period
Inputs,E4,4,E,,FF1F4E78,dark blue header,other,1,Period End
Inputs,F4,4,F,,FF1F4E78,dark blue header,other,1,RPO/Backlog or Revenue ($B)
Inputs,G4,4,G,,FF1F4E78,dark blue header,other,1,Fact Metric
Inputs,H4,4,H,,FF1F4E78,dark blue header,other,1,Quarterly Capex ($B)
Inputs,I4,4,I,,FF1F4E78,dark blue header,other,1,Capex Definition
Inputs,J4,4,J,,FF1F4E78,dark blue header,other,1,Fact Source URL
Inputs,K4,4,K,,FF1F4E78,dark blue header,other,1,Capex Source URL
Inputs,L4,4,L,,FF1F4E78,dark blue header,other,1,Evidence / Derivation
Inputs,M4,4,M,,FF1F4E78,dark blue header,other,1,Fact Source ID
Inputs,N4,4,N,,FF1F4E78,dark blue header,other,1,Capex Source ID
Inputs,P4,4,P,,FF1F4E78,dark blue header,other,1,Ticker
Inputs,Q4,4,Q,,FF1F4E78,dark blue header,other,1,AI Revenue Proxy
Inputs,R4,4,R,,FF1F4E78,dark blue header,other,1,AI Share of RPO/Revenue
Inputs,S4,4,S,,FF1F4E78,dark blue header,other,1,RPO Duration (Years)
Inputs,T4,4,T,,FF1F4E78,dark blue header,other,1,AI Share of Capex
Inputs,U4,4,U,,FF1F4E78,dark blue header,other,1,NOPAT Margin (Bear)
Inputs,V4,4,V,,FF1F4E78,dark blue header,other,1,NOPAT Margin (Base)
Inputs,W4,4,W,,FF1F4E78,dark blue header,other,1,NOPAT Margin (Bull)
Inputs,X4,4,X,,FF1F4E78,dark blue header,other,1,WACC
Inputs,Y4,4,Y,,FF1F4E78,dark blue header,other,1,Damodaran Sector / Date
Inputs,Z4,4,Z,,FF1F4E78,dark blue header,other,1,Annual Capex Guide / Midpoint / Actual ($B)
Inputs,AA4,4,AA,,FF1F4E78,dark blue header,other,1,Plan Basis
Inputs,AB4,4,AB,,FF1F4E78,dark blue header,other,1,Plan Source URL
Inputs,AC4,4,AC,,FF1F4E78,dark blue header,other,1,Source / Assumption Caveat
Inputs,A5,5,A,Company,,,other,1,Microsoft
Inputs,B5,5,B,Ticker,,,other,1,MSFT
Inputs,C5,5,C,Report Bucket,,,other,1,Q2 25
Inputs,D5,5,D,Fiscal Period,,,other,1,FY25 Q4
Inputs,E5,5,E,Period End,,,other,1,2025-06-30
Inputs,F5,5,F,RPO/Backlog or Revenue ($B),FFEAF2F8,light blue,fact,1,368
Inputs,G5,5,G,Fact Metric,,,other,1,Commercial remaining performance obligation
Inputs,H5,5,H,Quarterly Capex ($B),FFEAF2F8,light blue,fact,1,24.2
Inputs,I5,5,I,Capex Definition,,,other,1,"Company-reported capex, including finance leases"
Inputs,J5,5,J,Fact Source URL,FFEAF2F8,light blue,fact,1,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Inputs,K5,5,K,Capex Source URL,FFEAF2F8,light blue,fact,1,https://www.microsoft.com/en-us/Investor/earnings/FY-2025-Q4/press-release-webcast
Inputs,L5,5,L,Evidence / Derivation,,,other,1,"Fact: Commercial RPO increased to $368B at June 30, 2025. Capex: Official FY25 Q4 transcript: capital expenditures were $24.2B, including finance leases."
Inputs,M5,5,M,Fact Source ID,,,other,1,MSFT-Q225-FACT
Inputs,N5,5,N,Capex Source ID,,,other,1,MSFT-Q225-CAPEX
Inputs,P5,5,P,Ticker,,,other,1,MSFT
Inputs,Q5,5,Q,AI Revenue Proxy,,,other,1,Commercial RPO × assumed AI share ÷ assumed duration
Inputs,R5,5,R,AI Share of RPO/Revenue,FFFFF2CC,light yellow,assumption,1,0.5
Inputs,S5,5,S,RPO Duration (Years),FFFFF2CC,light yellow,assumption,1,2.5
Inputs,T5,5,T,AI Share of Capex,FFFFF2CC,light yellow,assumption,1,0.85
Inputs,U5,5,U,NOPAT Margin (Bear),FFFFF2CC,light yellow,assumption,1,0.2
Inputs,V5,5,V,NOPAT Margin (Base),FFFFF2CC,light yellow,assumption,1,0.3
Inputs,W5,5,W,NOPAT Margin (Bull),FFFFF2CC,light yellow,assumption,1,0.4
Inputs,X5,5,X,WACC,FFEAF2F8,light blue,fact,1,0.0934
Inputs,Y5,5,Y,Damodaran Sector / Date,,,other,1,"Software (System & Application), January 2026 U.S. industry average"
Inputs,Z5,5,Z,Annual Capex Guide / Midpoint / Actual ($B),FFEAF2F8,light blue,fact,1,175
Inputs,AA5,5,AA,Plan Basis,,,other,1,CY2026 reported capex outlook after FY26 Q4 results
Inputs,AB5,5,AB,Plan Source URL,FFEAF2F8,light blue,fact,1,https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
Inputs,AC5,5,AC,Source / Assumption Caveat,,,other,1,Microsoft reduced reported CY2026 capex expectation to approximately $175B from roughly $190B because longer datacenter useful lives shift future leases from finance leases included in its capex metri
Inputs,A6,6,A,Company,,,other,1,Microsoft
Inputs,B6,6,B,Ticker,,,other,1,MSFT
Inputs,C6,6,C,Report Bucket,,,other,1,Q3 25
Inputs,D6,6,D,Fiscal Period,,,other,1,FY26 Q1
Inputs,E6,6,E,Period End,,,other,1,2025-09-30
Inputs,F6,6,F,RPO/Backlog or Revenue ($B),FFEAF2F8,light blue,fact,1,392
Inputs,G6,6,G,Fact Metric,,,other,1,Commercial remaining performance obligation
Inputs,H6,6,H,Quarterly Capex ($B),FFEAF2F8,light blue,fact,1,34.9
Inputs,I6,6,I,Capex Definition,,,other,1,"Company-reported capex, including finance-lease timing effects"
Inputs,J6,6,J,Fact Source URL,FFEAF2F8,light blue,fact,1,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/msft-20250930.htm
Inputs,K6,6,K,Capex Source URL,FFEAF2F8,light blue,fact,1,https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q1/press-release-webcast
Inputs,L6,6,L,Evidence / Derivation,,,other,1,"Fact: The 10-Q reports $398B total RPO, of which $392B is commercial RPO. Capex: Official FY26 Q1 transcript: capital expenditures were $34.9B."
Inputs,M6,6,M,Fact Source ID,,,other,1,MSFT-Q325-FACT
Inputs,N6,6,N,Capex Source ID,,,other,1,MSFT-Q325-CAPEX
Inputs,P6,6,P,Ticker,,,other,1,GOOG
Inputs,Q6,6,Q,AI Revenue Proxy,,,other,1,RPO × assumed AI share ÷ assumed duration
Inputs,R6,6,R,AI Share of RPO/Revenue,FFFFF2CC,light yellow,assumption,1,0.65
Inputs,S6,6,S,RPO Duration (Years),FFFFF2CC,light yellow,assumption,1,2.5
Inputs,T6,6,T,AI Share of Capex,FFFFF2CC,light yellow,assumption,1,0.8
Inputs,U6,6,U,NOPAT Margin (Bear),FFFFF2CC,light yellow,assumption,1,0.2
Inputs,V6,6,V,NOPAT Margin (Base),FFFFF2CC,light yellow,assumption,1,0.3
Inputs,W6,6,W,NOPAT Margin (Bull),FFFFF2CC,light yellow,assumption,1,0.4
Inputs,X6,6,X,WACC,FFEAF2F8,light blue,fact,1,0.1066
Inputs,Y6,6,Y,Damodaran Sector / Date,,,other,1,"Software (Internet), January 2026 U.S. industry average"
Inputs,Z6,6,Z,Annual Capex Guide / Midpoint / Actual ($B),FFEAF2F8,light blue,fact,1,200
Inputs,AA6,6,AA,Plan Basis,,,other,1,Midpoint of updated CY2026 $195B-$205B company range
Inputs,AB6,6,AB,Plan Source URL,FFEAF2F8,light blue,fact,1,https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx
Inputs,AC6,6,AC,Source / Assumption Caveat,,,other,1,"Alphabet's official Q2 2026 call raised its 2026 capex range to $195B-$205B from $180B-$190B. $200B is the model midpoint, not company point guidance. AI share, 2.5-year duration, and scenario margins"
Inputs,A7,7,A,Company,,,other,1,Microsoft
